Query ID,Query Text,AI Tool,Dealer Mentioned?,Dealer Name,Dealer Address,Accurate Info?,Hallucination Detected?,Helpfulness (1-5),Response Summary,Notes
Q001,Ford F-150 Lariat Aurora CO,ChatGPT,,,,,,,
Q001,Ford F-150 Lariat Aurora CO,Perplexity,,,,,,,
Q001,Ford F-150 Lariat Aurora CO,Gemini,,,,,,,
Q001,Ford F-150 Lariat Aurora CO,Claude,,,,,,,
Q002,Mustang Mach-E Denver,ChatGPT,,,,,,,
Q002,Mustang Mach-E Denver,Perplexity,,,,,,,
Q002,Mustang Mach-E Denver,Gemini,,,,,,,
Q002,Mustang Mach-E Denver,Claude,,,,,,,
Q003,Lincoln Aviator Chicago,ChatGPT,,,,,,,
Q003,Lincoln Aviator Chicago,Perplexity,,,,,,,
Q003,Lincoln Aviator Chicago,Gemini,,,,,,,
Q003,Lincoln Aviator Chicago,Claude,,,,,,,
Q004,F-150 Lightning Dallas,ChatGPT,,,,,,,
Q004,F-150 Lightning Dallas,Perplexity,,,,,,,
Q004,F-150 Lightning Dallas,Gemini,,,,,,,
Q004,F-150 Lightning Dallas,Claude,,,,,,,
Q005,Ford Explorer Seattle,ChatGPT,,,,,,,
Q005,Ford Explorer Seattle,Perplexity,,,,,,,
Q005,Ford Explorer Seattle,Gemini,,,,,,,
Q005,Ford Explorer Seattle,Claude,,,,,,,
Q006,Best service F-150 near me,ChatGPT,,,,,,,
Q006,Best service F-150 near me,Perplexity,,,,,,,
Q006,Best service F-150 near me,Gemini,,,,,,,
Q006,Best service F-150 near me,Claude,,,,,,,
Q007,Saturday service Phoenix,ChatGPT,,,,,,,
Q007,Saturday service Phoenix,Perplexity,,,,,,,
Q007,Saturday service Phoenix,Gemini,,,,,,,
Q007,Saturday service Phoenix,Claude,,,,,,,
Q008,Lincoln mobile service Boston,ChatGPT,,,,,,,
Q008,Lincoln mobile service Boston,Perplexity,,,,,,,
Q008,Lincoln mobile service Boston,Gemini,,,,,,,
Q008,Lincoln mobile service Boston,Claude,,,,,,,
Q009,Commercial fleet service SF,ChatGPT,,,,,,,
Q009,Commercial fleet service SF,Perplexity,,,,,,,
Q009,Commercial fleet service SF,Gemini,,,,,,,
Q009,Commercial fleet service SF,Claude,,,,,,,
Q010,EV technicians Austin,ChatGPT,,,,,,,
Q010,EV technicians Austin,Perplexity,,,,,,,
Q010,EV technicians Austin,Gemini,,,,,,,
Q010,EV technicians Austin,Claude,,,,,,,
Q011,Compare Aurora vs Denver dealers,ChatGPT,,,,,,,
Q011,Compare Aurora vs Denver dealers,Perplexity,,,,,,,
Q011,Compare Aurora vs Denver dealers,Gemini,,,,,,,
Q011,Compare Aurora vs Denver dealers,Claude,,,,,,,
Q012,Ford vs Ford-Lincoln dealer,ChatGPT,,,,,,,
Q012,Ford vs Ford-Lincoln dealer,Perplexity,,,,,,,
Q012,Ford vs Ford-Lincoln dealer,Gemini,,,,,,,
Q012,Ford vs Ford-Lincoln dealer,Claude,,,,,,,
Q013,Choose between equidistant dealers,ChatGPT,,,,,,,
Q013,Choose between equidistant dealers,Perplexity,,,,,,,
Q013,Choose between equidistant dealers,Gemini,,,,,,,
Q013,Choose between equidistant dealers,Claude,,,,,,,
Q014,Best for first-time buyers LA,ChatGPT,,,,,,,
Q014,Best for first-time buyers LA,Perplexity,,,,,,,
Q014,Best for first-time buyers LA,Gemini,,,,,,,
Q014,Best for first-time buyers LA,Claude,,,,,,,
Q015,Online reviews Miami,ChatGPT,,,,,,,
Q015,Online reviews Miami,Perplexity,,,,,,,
Q015,Online reviews Miami,Gemini,,,,,,,
Q015,Online reviews Miami,Claude,,,,,,,
Q016,Fleet sales Atlanta,ChatGPT,,,,,,,
Q016,Fleet sales Atlanta,Perplexity,,,,,,,
Q016,Fleet sales Atlanta,Gemini,,,,,,,
Q016,Fleet sales Atlanta,Claude,,,,,,,
Q017,Upfitted commercial trucks NE,ChatGPT,,,,,,,
Q017,Upfitted commercial trucks NE,Perplexity,,,,,,,
Q017,Upfitted commercial trucks NE,Gemini,,,,,,,
Q017,Upfitted commercial trucks NE,Claude,,,,,,,
Q018,Lincoln Black Label NYC,ChatGPT,,,,,,,
Q018,Lincoln Black Label NYC,Perplexity,,,,,,,
Q018,Lincoln Black Label NYC,Gemini,,,,,,,
Q018,Lincoln Black Label NYC,Claude,,,,,,,
Q019,F-150 Raptor test drive,ChatGPT,,,,,,,
Q019,F-150 Raptor test drive,Perplexity,,,,,,,
Q019,F-150 Raptor test drive,Gemini,,,,,,,
Q019,F-150 Raptor test drive,Claude,,,,,,,
Q020,Off-road Bronco mods Houston,ChatGPT,,,,,,,
Q020,Off-road Bronco mods Houston,Perplexity,,,,,,,
Q020,Off-road Bronco mods Houston,Gemini,,,,,,,
Q020,Off-road Bronco mods Houston,Claude,,,,,,,
